"","Country","Year","Indicator","RCode","Region","CCode","Male","Female","Both_Sexes"
"1","Afghanistan",2000,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","AFG",13.63,14.21,13.92
"2","Afghanistan",2000,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","AFG",54.57,55.42,54.99
"3","Afghanistan",2010,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","AFG",15.07,15.17,15.12
"4","Afghanistan",2010,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","AFG",59.6,60.3,59.94
"5","Afghanistan",2015,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","AFG",15.68,15.52,15.59
"6","Afghanistan",2015,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","AFG",61.04,62.35,61.65
"7","Afghanistan",2019,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","AFG",15.39,15.06,15.21
"8","Afghanistan",2019,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","AFG",63.29,63.16,63.21
"9","Albania",2000,"Life expectancy at age 60 (years)","EUR","Europe","ALB",17.1,21.21,19
"10","Albania",2000,"Life expectancy at birth (years)","EUR","Europe","ALB",70.65,76.92,73.55
"11","Albania",2010,"Life expectancy at age 60 (years)","EUR","Europe","ALB",19.94,22.63,21.31
"12","Albania",2010,"Life expectancy at birth (years)","EUR","Europe","ALB",74.23,78.31,76.25
"13","Albania",2015,"Life expectancy at age 60 (years)","EUR","Europe","ALB",20.13,22.15,21.13
"14","Albania",2015,"Life expectancy at birth (years)","EUR","Europe","ALB",76.1,79.69,77.84
"15","Albania",2019,"Life expectancy at age 60 (years)","EUR","Europe","ALB",20.22,21.94,21.03
"16","Albania",2019,"Life expectancy at birth (years)","EUR","Europe","ALB",76.25,79.91,78
"17","Algeria",2000,"Life expectancy at age 60 (years)","AFR","Africa","DZA",19.36,20.25,19.81
"18","Algeria",2000,"Life expectancy at birth (years)","AFR","Africa","DZA",70.94,73.54,72.21
"19","Algeria",2010,"Life expectancy at age 60 (years)","AFR","Africa","DZA",20.89,21.85,21.37
"20","Algeria",2010,"Life expectancy at birth (years)","AFR","Africa","DZA",74.95,76.79,75.85
"21","Algeria",2015,"Life expectancy at age 60 (years)","AFR","Africa","DZA",21.33,22.33,21.81
"22","Algeria",2015,"Life expectancy at birth (years)","AFR","Africa","DZA",75.65,77.5,76.54
"23","Algeria",2019,"Life expectancy at age 60 (years)","AFR","Africa","DZA",21.53,22.62,22.04
"24","Algeria",2019,"Life expectancy at birth (years)","AFR","Africa","DZA",76.23,78.12,77.13
"25","Angola",2000,"Life expectancy at age 60 (years)","AFR","Africa","AGO",12.82,16.01,14.42
"26","Angola",2000,"Life expectancy at birth (years)","AFR","Africa","AGO",46.77,52.12,49.3
"27","Angola",2010,"Life expectancy at age 60 (years)","AFR","Africa","AGO",14.37,17.54,15.97
"28","Angola",2010,"Life expectancy at birth (years)","AFR","Africa","AGO",55.78,60.53,58.07
